,Path_Time,Distance,RT,Sim_Time,PR_acc,Sim_con,Vividness,S_coherence,T_coherence,Fract,Coherence,Length,S_mem,G_mem,Participant
3,69.1928,386.0943,2.12,12.3531,5,2,2.833333333,2,2,3,2.5,4,3,3,21
4,52.9366,296.926,4.95328,8.2868,3,3,2.833333333,3,2,3,2.75,3,3,3,21
5,27.6584,136.356,2.55327,5.5375,4.5,4,4.5,3,4,4.5,4,1,3,5,21
6,46.7774,224.15,3.37009,36.1861,5,4,2.666666667,2,2,2.5,2.25,4,2,2,21
7,45.2872,237.034,5.10342,6.9367,5,3,3.333333333,3,3,3,3,3,4,4,21
8,75.349,417.991,2.73756,8.836,3,3,3.666666667,3,4,3,3.25,3,5,4,21
9,44.342,210.562,3.91992,7.119,3,3,3.333333333,3,4,2.5,3,3,4,3,21
0,24.47373,122.5228533,,38.26504,4,4,3.5,2,4,3,3,3,5,4,22
1,40.6029,223.9494,2.40286,51.355,4,4,3,4,4,4,4,4,5,4,22
2,32.3294,160.8654,3.21977,35.9373,4.5,4,2.666666667,1,5,3,3,1,5,4,22
3,23.4352,123.0805,2.13665,33.9045,5,5,3.166666667,2,4,4,3.5,4,2,4,22
4,58.6914,336.562,1.65308,48.4577,5,4,3.666666667,2,2,4.5,3.25,4,5,4,22
5,31.8781,179.3036,2.50326,38.4357,5,2,3,4,4,3,3.5,4,5,3,22
6,36.3306,194.537,2.33661,37.6885,5,4,4,2,4,3.5,3.25,3,5,4,22
7,28.3203,159.701,3.68666,36.2873,5,4,4,3,4,4,3.75,4,5,3,22
8,56.027,316.429,4.36883,55.2265,5,4,3.833333333,2,4,2.5,2.75,4,5,5,22
9,28.167,150.937,1.38676,26.919,5,5,4.166666667,2,2,4,3,2,5,5,22
0,50.18061,211.6144533,,12.53286,3.5,3,3.333333333,2,4,1,2,5,2,3,23
1,65.826,356.831,2.35389,11.037,3.5,4,4.333333333,4,4,4.5,4.25,1,5,5,23
2,68.4232,370.9603,1.80354,6.5862,5,2,3,2,3,3.5,3,5,1,3,23
3,27.8537,131.482,1.72003,4.4695,2.5,5,4.666666667,4,5,3,3.75,1,3,4,23
4,314.7356,1768.298,3.86925,8.5361,5,4,4.5,5,5,4,4.5,1,4,5,23
5,33.5895,180.203,5.10257,10.0191,1,1,1.666666667,3,2,1,1.75,5,3,1,23
6,41.142,205.05,2.53757,6.2196,3.5,3,4,3,3,3.5,3.25,4,4,4,23
7,35.2119,174.58,5.50344,4.4861,5,5,5,5,5,5,5,1,5,5,23
8,94.734,497.519,2.90234,6.32,5,3,2.833333333,4,2,2.5,2.75,5,2,3,23
9,31.889,139.022,2.7199,8.187,3.5,2,2.833333333,3,4,3,3.25,4,2,3,23
0,25.15514,122.9240533,,13.63739,5,4,4.166666667,3,3,3,3,1,5,5,24
1,41.1178,223.5496,3.37096,16.38692,5,4,3.666666667,3,2,4,3.25,3,5,4,24
2,28.9895,152.5329,1.41989,15.5035,5,5,4,3,2,3.5,3,1,5,4,24
3,43.9201,182.6658,1.37024,13.8036,5,3,2.333333333,2,2,2.5,2.25,4,5,2,24
4,50.942,289.7629,4.37007,10.4524,2,4,4,4,4,4,4,5,5,4,24
5,26.712,137.7075,2.05369,1.4229,5,5,4.5,4,3,1.5,2.5,1,5,5,24
6,37.024,200.765,3.96985,8.4852,5,5,4.333333333,3,3,4.5,3.75,3,5,5,24
7,31.9935,167.67,1.82086,11.2859,5,5,4.333333333,3,4,4.5,4,1,5,5,24
8,56.0366,314.141,2.83737,14.3368,5,5,4.166666667,2,3,4.5,3.5,4,5,5,24
9,38.7327,210.549,2.22064,7.5193,5,4,4.166666667,3,3,4,3.5,3,5,5,24
0,24.55786,135.2281533,,18.94161,5,5,3.833333333,2,3,3.5,3,3,5,5,25
1,40.8016,226.5634,3.48677,11.2697,5,5,3.5,5,2,4,3.75,4,5,5,25
2,32.7218,175.5647,3.83687,9.8375,5,5,3.666666667,5,2,4,3.75,3,5,5,25
3,24.3255,125.0283,5.18696,9.7373,4.5,5,3.5,5,2,3.5,3.5,2,5,5,25
4,50.6462,282.1422,6.40309,13.3363,4.5,5,3.666666667,5,1,3.5,3.25,5,5,5,25
5,25.7665,137.441,5.61995,4.8865,4.5,5,3.666666667,5,2,3.5,3.5,2,5,5,25
6,35.2546,192.879,5.43653,7.0866,4.5,5,3.5,5,2,3.5,3.5,4,5,5,25
7,31.635,164.518,4.83656,6.3396,4.5,5,3.5,5,2,3.5,3.5,1,5,5,25
8,60.0283,328.125,4.65288,11.7527,4.5,5,3.666666667,5,3,3.5,3.75,5,5,5,25
9,40.6114,215.622,3.02043,7.6875,4.5,5,3.833333333,5,2,3.5,3.5,3,5,5,25
0,32.7353,144.1864533,,16.02344,5,5,4.166666667,2,3,3.5,3,1,5,5,26
1,41.5086,227.7291,3.48663,16.2358,5,5,4,5,3,3.5,3.75,1,5,5,26
2,29.5784,152.8261,4.85333,9.4201,5,5,4.5,5,3,3.5,3.75,1,5,5,26
3,25.0867,129.1811,2.50364,7.9372,5,5,4.5,3,3,3.5,3.25,1,5,5,26
